자치구,행정동,2022년_만65세이상_인구수
양천구,신월1동,4420
양천구,신월2동,4091
양천구,신월3동,3075
양천구,신월4동,3469
양천구,신월5동,2600
양천구,신월6동,2019
양천구,신월7동,4434
양천구,신정1동,2826
양천구,신정2동,2714
양천구,신정4동,6114
양천구,신정3동,8047
양천구,신정6동,3018
양천구,신정7동,5265
강서구,염창동,4618
강서구,등촌1동,3032
강서구,등촌2동,3332
강서구,등촌3동,7013
강서구,화곡본동,5112
강서구,화곡2동,3033
강서구,화곡3동,4261
강서구,화곡4동,4019
강서구,화곡6동,4121
강서구,화곡8동,4525
강서구,가양1동,3261
강서구,가양2동,4374
강서구,가양3동,3849
강서구,발산1동,5112
강서구,공항동,4377
강서구,방화1동,6990
강서구,방화2동,5005
강서구,방화3동,5499
강서구,화곡1동,8655
강서구,우장산동,6169
구로구,신도림동,4965
구로구,구로1동,2845
구로구,구로2동,5661
구로구,구로3동,3528
구로구,구로4동,4571
구로구,구로5동,4824
구로구,고척1동,4534
구로구,고척2동,5509
구로구,개봉2동,6741
구로구,개봉3동,4431
구로구,오류1동,4143
구로구,오류2동,7345
구로구,수궁동,4685
구로구,가리봉동,1908
구로구,개봉1동,6651
구로구,항동,1782
금천구,가산동,2691
금천구,독산1동,6095
금천구,독산2동,3594
금천구,독산3동,4635
금천구,독산4동,2998
금천구,시흥1동,6395
금천구,시흥2동,4281
금천구,시흥3동,2457
금천구,시흥4동,4350
금천구,시흥5동,4480
영등포구,여의동,6202
영등포구,당산1동,3449
영등포구,당산2동,4794
영등포구,양평1동,2397
영등포구,양평2동,2615
영등포구,신길1동,3484
영등포구,신길3동,3226
영등포구,신길4동,2398
영등포구,신길5동,2036
영등포구,신길6동,3402
영등포구,신길7동,2635
영등포구,대림1동,3141
영등포구,대림2동,2816
영등포구,대림3동,4576
영등포구,영등포본동,4205
영등포구,영등포동,3328
영등포구,도림동,3247
영등포구,문래동,4784
동작구,노량진2동,2195
동작구,상도1동,7275
동작구,상도2동,4353
동작구,상도3동,4586
동작구,상도4동,5315
동작구,사당1동,3848
동작구,사당3동,4620
동작구,사당4동,2748
동작구,사당5동,2407
동작구,대방동,5768
동작구,신대방1동,3924
동작구,신대방2동,3417
동작구,흑석동,5196
동작구,노량진1동,5922
동작구,사당2동,5775
관악구,보라매동,4600
관악구,청림동,2817
관악구,행운동,4487
관악구,낙성대동,2015
관악구,중앙동,2375
관악구,인헌동,4109
관악구,남현동,2915
관악구,서원동,3360
관악구,신원동,3286
관악구,서림동,3658
관악구,신사동,3551
관악구,신림동,1956
관악구,난향동,2826
관악구,조원동,3007
관악구,대학동,3157
관악구,은천동,6057
관악구,성현동,5522
관악구,청룡동,4650
관악구,난곡동,5552
관악구,삼성동,5483
관악구,미성동,6031
서초구,서초1동,3107
서초구,서초2동,3340
서초구,서초3동,4924
서초구,서초4동,4262
서초구,잠원동,3330
서초구,반포본동,26
서초구,반포1동,4080
서초구,반포2동,2053
서초구,반포3동,3210
서초구,반포4동,2961
서초구,방배본동,3140
서초구,방배1동,2949
서초구,방배2동,3523
서초구,방배3동,3253
서초구,방배4동,3546
서초구,양재1동,7177
서초구,양재2동,3054
서초구,내곡동,3421
강남구,신사동,2993
강남구,개포3동,3526
강남구,논현1동,2910
강남구,논현2동,3095
강남구,삼성1동,2163
강남구,삼성2동,3837
강남구,대치1동,2632
강남구,대치2동,5252
강남구,대치4동,2051
강남구,역삼1동,3574
강남구,역삼2동,3832
강남구,도곡1동,3066
강남구,도곡2동,5020
강남구,개포1동,1650
강남구,개포2동,3842
강남구,개포4동,3395
강남구,일원본동,3356
강남구,일원1동,3342
강남구,수서동,4888
강남구,세곡동,6854
강남구,압구정동,5135
강남구,청담동,3723
송파구,풍납1동,2788
송파구,풍납2동,4007
송파구,거여1동,2490
송파구,거여2동,4257
송파구,마천1동,4294
송파구,마천2동,4168
송파구,방이1동,2306
송파구,방이2동,3584
송파구,오륜동,3021
송파구,오금동,6751
송파구,송파1동,3577
송파구,송파2동,3002
송파구,석촌동,4631
송파구,삼전동,4121
송파구,가락본동,3950
송파구,가락1동,3792
송파구,가락2동,4478
송파구,문정1동,3176
송파구,문정2동,4127
송파구,장지동,4576
송파구,위례동,3564
송파구,잠실본동,3856
송파구,잠실2동,3851
송파구,잠실3동,5996
송파구,잠실4동,2930
송파구,잠실6동,2977
송파구,잠실7동,2202
강동구,명일1동,4199
강동구,명일2동,2763
강동구,고덕1동,2998
강동구,고덕2동,3147
강동구,암사1동,6252
강동구,암사2동,2501
강동구,암사3동,2797
강동구,천호1동,5411
강동구,천호2동,6069
강동구,천호3동,4767
강동구,성내1동,3174
강동구,성내2동,4418
강동구,성내3동,4062
강동구,길동,8427
강동구,둔촌1동,4
강동구,둔촌2동,4220
강동구,강일동,5771
강동구,상일1동,4798
강동구,상일2동,1903
