,자치구,행정동,초미세먼지 나쁨 빈도,미세먼지 나쁨 빈도,(초)미세먼지 나쁨 빈도
0,종로구,사직동,159,49,208
1,종로구,삼청동,162,74,236
2,종로구,부암동,211,115,326
3,종로구,평창동,160,64,224
4,종로구,무악동,175,71,246
5,종로구,교남동,120,38,158
6,종로구,가회동,148,53,201
7,종로구,종로1·2·3·4가동,141,40,181
8,종로구,종로5·6가동,127,33,160
9,종로구,이화동,166,70,236
10,종로구,혜화동,154,49,203
11,종로구,창신1동,148,57,205
12,종로구,창신2동,132,38,170
13,종로구,창신3동,141,73,214
14,종로구,숭인1동,161,52,213
15,종로구,숭인2동,161,57,218
16,종로구,청운효자동,63,8,71
17,중구,소공동,139,63,202
18,중구,회현동,170,62,232
19,중구,명동,216,117,333
20,중구,필동,186,66,252
21,중구,장충동,177,87,264
22,중구,광희동,165,66,231
23,중구,을지로동,232,94,326
24,중구,신당5동,117,29,146
25,중구,황학동,122,30,152
26,중구,중림동,116,17,133
27,중구,신당동,119,32,151
28,중구,다산동,161,83,244
29,중구,약수동,60,11,71
30,중구,청구동,145,52,197
31,중구,동화동,149,48,197
32,용산구,후암동,134,47,181
33,용산구,용산2가동,93,21,114
34,용산구,남영동,106,27,133
35,용산구,원효로2동,141,52,194
36,용산구,효창동,127,30,157
37,용산구,용문동,85,17,102
38,용산구,이촌1동,171,89,260
39,용산구,이촌2동,195,105,300
40,용산구,이태원1동,155,55,210
41,용산구,이태원2동,121,35,156
42,용산구,서빙고동,136,46,182
43,용산구,보광동,191,80,271
44,용산구,청파동,129,32,161
45,용산구,원효로1동,141,52,194
46,용산구,한강로동,97,18,115
47,용산구,한남동,172,86,258
48,성동구,왕십리2동,145,39,184
49,성동구,마장동,166,68,234
50,성동구,사근동,172,82,254
51,성동구,행당1동,152,64,216
52,성동구,행당2동,245,150,395
53,성동구,응봉동,180,73,253
54,성동구,금호1가동,182,81,263
55,성동구,금호4가동,214,128,342
56,성동구,성수1가1동,193,112,305
57,성동구,성수1가2동,165,73,238
58,성동구,성수2가1동,193,89,282
59,성동구,성수2가3동,204,95,299
60,성동구,송정동,182,78,260
61,성동구,용답동,203,113,316
62,성동구,왕십리도선동,162,57,219
63,성동구,금호2·3가동,147,48,195
64,성동구,옥수동,151,59,210
65,광진구,화양동,96,20,116
66,광진구,군자동,148,58,206
67,광진구,중곡1동,156,52,208
68,광진구,중곡2동,135,37,172
69,광진구,중곡3동,138,39,177
70,광진구,중곡4동,135,43,178
71,광진구,능동,62,27,89
72,광진구,구의1동,74,16,90
73,광진구,구의2동,161,59,220
74,광진구,구의3동,180,108,288
75,광진구,광장동,149,52,201
76,광진구,자양1동,138,44,182
77,광진구,자양2동,93,24,117
78,광진구,자양3동,187,90,277
79,광진구,자양4동,63,13,76
80,동대문구,회기동,125,36,161
81,동대문구,휘경1동,133,40,173
82,동대문구,휘경2동,158,60,218
83,동대문구,청량리동,158,56,214
84,동대문구,용신동,141,53,194
85,동대문구,제기동,138,47,185
86,동대문구,전농1동,94,19,113
87,동대문구,전농2동,134,52,186
88,동대문구,답십리1동,162,60,222
89,동대문구,답십리2동,131,39,170
90,동대문구,장안1동,124,38,162
91,동대문구,장안2동,142,44,186
92,동대문구,이문1동,131,35,166
93,동대문구,이문2동,131,35,166
94,중랑구,면목2동,92,16,108
95,중랑구,면목4동,158,65,223
96,중랑구,면목5동,141,41,182
97,중랑구,면목7동,119,35,154
98,중랑구,상봉1동,39,18,57
99,중랑구,상봉2동,148,47,195
100,중랑구,중화1동,158,67,225
101,중랑구,중화2동,209,91,300
102,중랑구,묵1동,97,21,118
103,중랑구,묵2동,146,51,197
104,중랑구,망우3동,113,34,147
105,중랑구,신내1동,68,13,81
106,중랑구,신내2동,155,58,213
107,중랑구,면목본동,143,65,208
108,중랑구,면목3·8동,163,89,252
109,중랑구,망우본동,131,33,164
110,성북구,돈암1동,155,62,217
111,성북구,돈암2동,121,40,161
112,성북구,안암동,107,35,142
113,성북구,보문동,151,49,200
114,성북구,정릉1동,131,39,170
115,성북구,정릉2동,109,23,132
116,성북구,정릉3동,100,31,131
117,성북구,정릉4동,87,19,106
118,성북구,길음1동,129,34,163
119,성북구,길음2동,142,54,196
120,성북구,월곡1동,119,45,164
121,성북구,월곡2동,115,63,178
122,성북구,장위1동,108,29,137
123,성북구,장위2동,88,24,112
124,성북구,장위3동,115,27,142
125,성북구,성북동,103,15,118
126,성북구,삼선동,128,33,161
127,성북구,동선동,153,54,207
128,성북구,종암동,134,33,167
129,성북구,석관동,80,22,102
130,강북구,번1동,113,36,149
131,강북구,번2동,147,50,197
132,강북구,번3동,154,58,212
133,강북구,수유1동,142,50,192
134,강북구,수유2동,128,51,179
135,강북구,수유3동,109,33,142
136,강북구,삼양동,135,48,183
137,강북구,미아동,74,15,89
138,강북구,송중동,145,44,189
139,강북구,송천동,127,49,176
140,강북구,삼각산동,122,38,160
141,강북구,우이동,153,58,211
142,강북구,인수동,126,48,174
143,도봉구,쌍문1동,90,39,129
144,도봉구,쌍문2동,95,41,136
145,도봉구,쌍문3동,149,59,208
146,도봉구,쌍문4동,139,56,195
147,도봉구,방학1동,102,50,152
148,도봉구,방학2동,139,49,188
149,도봉구,방학3동,101,27,128
150,도봉구,창1동,124,44,168
151,도봉구,창2동,196,90,286
152,도봉구,창3동,144,50,194
153,도봉구,창4동,174,111,285
154,도봉구,창5동,175,119,294
155,도봉구,도봉1동,160,61,221
156,도봉구,도봉2동,209,90,299
157,노원구,월계1동,145,38,183
158,노원구,월계2동,105,25,130
159,노원구,월계3동,106,36,142
160,노원구,공릉2동,146,43,189
161,노원구,하계1동,137,41,178
162,노원구,하계2동,132,42,174
163,노원구,중계본동,131,37,168
164,노원구,중계1동,85,42,127
165,노원구,중계4동,147,54,201
166,노원구,상계1동,146,70,216
167,노원구,상계2동,170,63,233
168,노원구,상계5동,112,25,137
169,노원구,상계8동,127,37,164
170,노원구,상계9동,114,39,153
171,노원구,상계10동,140,64,204
172,노원구,상계3·4동,125,35,160
173,노원구,상계6·7동,141,36,177
174,노원구,중계2·3동,98,26,124
