,자치구,행정동,초미세먼지 나쁨 빈도,미세먼지 나쁨 빈도,(초)미세먼지 나쁨 빈도
175,노원구,공릉1동,133,39,172
176,은평구,녹번동,122,31,153
177,은평구,불광1동,181,76,257
178,은평구,갈현1동,152,54,206
179,은평구,갈현2동,83,17,100
180,은평구,구산동,148,54,202
181,은평구,대조동,99,23,122
182,은평구,응암1동,170,61,231
183,은평구,응암2동,149,63,212
184,은평구,신사1동,150,58,208
185,은평구,신사2동,106,20,126
186,은평구,증산동,136,37,173
187,은평구,수색동,136,44,180
188,은평구,진관동,113,25,138
189,은평구,불광2동,119,41,160
190,은평구,응암3동,106,25,131
191,은평구,역촌동,124,25,149
192,서대문구,천연동,150,56,206
193,서대문구,홍제1동,123,47,170
194,서대문구,홍제2동,88,42,130
195,서대문구,홍제3동,167,74,241
196,서대문구,홍은1동,89,20,109
197,서대문구,홍은2동,121,49,170
198,서대문구,남가좌1동,94,27,121
199,서대문구,남가좌2동,66,12,78
200,서대문구,북가좌1동,128,38,166
201,서대문구,북가좌2동,100,24,124
202,서대문구,충현동,102,22,124
203,서대문구,북아현동,95,15,110
204,서대문구,신촌동,133,28,161
205,서대문구,연희동,198,98,296
206,마포구,용강동,156,51,207
207,마포구,대흥동,160,52,212
208,마포구,염리동,156,60,216
209,마포구,신수동,196,86,282
210,마포구,서교동,180,74,254
211,마포구,합정동,161,57,218
212,마포구,망원1동,258,149,407
213,마포구,망원2동,216,102,318
214,마포구,연남동,198,84,282
215,마포구,성산1동,160,57,217
216,마포구,성산2동,166,64,230
217,마포구,상암동,182,102,284
218,마포구,도화동,181,78,259
219,마포구,서강동,202,78,280
220,마포구,공덕동,162,58,220
221,마포구,아현동,132,46,178
222,양천구,목1동,153,52,205
223,양천구,목2동,178,103,281
224,양천구,목3동,171,68,239
225,양천구,목4동,176,65,241
226,양천구,목5동,207,99,306
227,양천구,신월1동,185,67,252
228,양천구,신월2동,183,70,253
229,양천구,신월3동,175,81,256
230,양천구,신월4동,172,71,243
231,양천구,신월5동,195,75,270
232,양천구,신월6동,162,56,218
233,양천구,신월7동,165,60,225
234,양천구,신정1동,113,28,141
235,양천구,신정2동,187,69,256
236,양천구,신정4동,187,81,268
237,양천구,신정3동,190,82,272
238,양천구,신정6동,165,58,223
239,양천구,신정7동,192,85,277
240,강서구,염창동,157,69,226
241,강서구,등촌1동,111,25,136
242,강서구,등촌2동,152,61,213
243,강서구,등촌3동,114,30,144
244,강서구,화곡본동,141,48,189
245,강서구,화곡2동,69,9,78
246,강서구,화곡3동,170,66,236
247,강서구,화곡4동,152,46,198
248,강서구,화곡6동,200,87,287
249,강서구,화곡8동,108,26,134
250,강서구,가양1동,151,66,217
251,강서구,가양2동,91,44,135
252,강서구,가양3동,143,37,180
253,강서구,발산1동,136,71,207
254,강서구,공항동,127,48,175
255,강서구,방화1동,126,54,180
256,강서구,방화2동,113,57,170
257,강서구,방화3동,155,59,214
258,강서구,화곡1동,223,103,326
259,강서구,우장산동,174,75,249
260,구로구,신도림동,152,35,187
261,구로구,구로1동,53,10,63
262,구로구,구로2동,148,50,198
263,구로구,구로3동,139,54,193
264,구로구,구로4동,182,73,255
265,구로구,구로5동,150,59,209
266,구로구,고척1동,106,27,133
267,구로구,고척2동,151,46,197
268,구로구,개봉2동,118,36,154
269,구로구,개봉3동,120,31,151
270,구로구,오류1동,92,18,110
271,구로구,오류2동,120,44,164
272,구로구,수궁동,158,74,232
273,구로구,가리봉동,109,29,138
274,구로구,개봉1동,142,40,182
275,구로구,항동,86,37,123
276,금천구,가산동,148,57,205
277,금천구,독산1동,193,94,287
278,금천구,독산2동,98,29,127
279,금천구,독산3동,150,58,208
280,금천구,독산4동,166,65,231
281,금천구,시흥1동,231,129,360
282,금천구,시흥2동,171,77,248
283,금천구,시흥3동,135,37,172
284,금천구,시흥4동,161,62,223
285,금천구,시흥5동,129,63,192
286,영등포구,여의동,156,51,207
287,영등포구,당산1동,184,85,269
288,영등포구,당산2동,175,73,248
289,영등포구,양평1동,181,70,251
290,영등포구,양평2동,192,88,280
291,영등포구,신길1동,112,22,134
292,영등포구,신길3동,151,54,205
293,영등포구,신길4동,138,36,174
294,영등포구,신길5동,153,50,203
295,영등포구,신길6동,101,20,121
296,영등포구,신길7동,192,80,272
297,영등포구,대림1동,171,87,258
298,영등포구,대림2동,193,90,283
299,영등포구,대림3동,169,90,259
300,영등포구,영등포본동,127,33,160
301,영등포구,영등포동,155,58,213
302,영등포구,도림동,104,25,129
303,영등포구,문래동,163,74,237
304,동작구,노량진2동,138,38,176
305,동작구,상도1동,177,84,261
306,동작구,상도2동,137,52,189
307,동작구,상도3동,133,45,178
308,동작구,상도4동,148,58,206
309,동작구,사당1동,158,76,234
310,동작구,사당3동,143,55,198
311,동작구,사당4동,145,54,199
312,동작구,사당5동,179,74,253
313,동작구,대방동,154,60,214
314,동작구,신대방1동,119,44,163
315,동작구,신대방2동,152,60,212
316,동작구,흑석동,134,57,191
317,동작구,노량진1동,92,13,105
318,동작구,사당2동,159,83,242
319,관악구,보라매동,161,68,229
320,관악구,청림동,147,50,197
321,관악구,행운동,146,51,197
322,관악구,낙성대동,171,70,241
323,관악구,중앙동,182,84,266
324,관악구,인헌동,123,33,156
325,관악구,남현동,160,63,223
326,관악구,서원동,159,62,221
327,관악구,신원동,153,48,201
328,관악구,서림동,148,43,191
329,관악구,신사동,170,63,233
330,관악구,신림동,196,82,278
331,관악구,난향동,159,59,218
332,관악구,조원동,190,95,285
333,관악구,대학동,186,101,287
334,관악구,은천동,166,62,228
335,관악구,성현동,163,56,219
336,관악구,청룡동,191,87,278
337,관악구,난곡동,154,44,198
338,관악구,삼성동,190,92,282
339,관악구,미성동,167,55,222
340,서초구,서초1동,118,29,147
341,서초구,서초2동,119,39,158
342,서초구,서초3동,198,97,295
343,서초구,서초4동,132,30,162
344,서초구,잠원동,148,46,194
345,서초구,반포본동,98,22,120
346,서초구,반포1동,144,50,194
347,서초구,반포2동,112,39,151
348,서초구,반포3동,137,43,180
349,서초구,반포4동,132,41,173
350,서초구,방배본동,131,45,176
351,서초구,방배1동,85,18,103
352,서초구,방배2동,153,52,205
353,서초구,방배3동,109,24,133
354,서초구,방배4동,131,45,176
355,서초구,양재1동,178,70,248
356,서초구,양재2동,145,46,191
357,서초구,내곡동,84,15,99
358,강남구,신사동,189,77,266
359,강남구,개포3동,125,46,171
360,강남구,논현1동,177,94,271
361,강남구,논현2동,160,58,218
362,강남구,삼성1동,102,31,133
363,강남구,삼성2동,149,67,216
364,강남구,대치1동,146,51,197
365,강남구,대치2동,151,48,199
366,강남구,대치4동,131,32,163
367,강남구,역삼1동,144,57,201
368,강남구,역삼2동,134,42,176
369,강남구,도곡1동,127,46,173
370,강남구,도곡2동,108,25,133
371,강남구,개포1동,92,30,122
372,강남구,개포2동,193,105,298
373,강남구,개포4동,156,61,217
374,강남구,일원본동,129,53,182
375,강남구,일원1동,176,77,253
376,강남구,수서동,109,36,145
377,강남구,세곡동,191,94,285
378,강남구,압구정동,130,45,175
379,강남구,청담동,142,55,197
380,송파구,풍납1동,62,11,73
381,송파구,풍납2동,148,61,209
382,송파구,거여1동,128,35,163
383,송파구,거여2동,130,45,175
384,송파구,마천1동,133,58,191
385,송파구,마천2동,121,51,172
386,송파구,방이1동,104,31,135
387,송파구,방이2동,157,86,243
388,송파구,오륜동,118,23,141
389,송파구,오금동,123,36,159
390,송파구,송파1동,59,11,70
391,송파구,송파2동,119,33,152
392,송파구,석촌동,194,87,281
393,송파구,삼전동,125,41,166
394,송파구,가락본동,91,18,109
395,송파구,가락1동,150,52,202
396,송파구,가락2동,90,24,114
397,송파구,문정1동,123,32,155
398,송파구,문정2동,66,17,83
399,송파구,장지동,125,30,155
400,송파구,위례동,105,27,132
401,송파구,잠실본동,168,62,230
402,송파구,잠실2동,121,31,152
403,송파구,잠실3동,100,23,123
404,송파구,잠실4동,69,15,84
405,송파구,잠실6동,143,55,198
406,송파구,잠실7동,128,41,169
407,강동구,명일1동,146,46,192
408,강동구,명일2동,91,22,113
409,강동구,고덕1동,132,50,182
410,강동구,고덕2동,104,57,161
411,강동구,암사1동,192,93,285
412,강동구,암사2동,164,78,242
413,강동구,암사3동,64,27,91
414,강동구,천호1동,171,88,259
415,강동구,천호2동,143,68,211
416,강동구,천호3동,162,86,248
417,강동구,성내1동,137,56,193
418,강동구,성내2동,157,59,216
419,강동구,성내3동,120,37,157
420,강동구,길동,146,59,205
421,강동구,둔촌1동,129,47,176
422,강동구,둔촌2동,136,66,202
423,강동구,강일동,113,28,141
424,강동구,상일1동,90,16,106
425,강동구,상일2동,141,52,194
