자치구,행정동,2020년_만65세이상_인구수,2021년_만65세이상_인구수,2022년_만65세이상_인구수
노원구,상계6·7동,4800,5033,5255
노원구,중계2·3동,7146,7396,7640
노원구,공릉1동,6210,6530,6843
은평구,녹번동,6605,6919,7244
은평구,불광1동,7414,7593,7903
은평구,갈현1동,4285,4330,3526
은평구,갈현2동,4745,4904,5161
은평구,구산동,5865,6149,6338
은평구,대조동,4775,4952,5144
은평구,응암1동,4643,5077,5346
은평구,응암2동,3591,3830,4046
은평구,신사1동,4698,4913,5159
은평구,신사2동,3716,3814,3932
은평구,증산동,2990,3114,3557
은평구,수색동,1969,2195,2353
은평구,진관동,7624,8054,8551
은평구,불광2동,5745,5838,6080
은평구,응암3동,5429,5522,5728
은평구,역촌동,8049,8326,8687
서대문구,천연동,3085,3167,3239
서대문구,홍제1동,4332,4498,4770
서대문구,홍제2동,2616,2705,2780
서대문구,홍제3동,3456,3524,3912
서대문구,홍은1동,4331,4523,4678
서대문구,홍은2동,4849,5024,5269
서대문구,남가좌1동,1983,2112,2249
서대문구,남가좌2동,4625,4779,4938
서대문구,북가좌1동,2826,2914,3074
서대문구,북가좌2동,6114,6279,6474
서대문구,충현동,3224,3321,3425
서대문구,북아현동,2164,2206,2297
서대문구,신촌동,2010,2020,2076
서대문구,연희동,5824,5806,5880
마포구,용강동,2850,2880,2974
마포구,대흥동,1902,1936,1954
마포구,염리동,1625,1977,2050
마포구,신수동,3203,3193,3343
마포구,서교동,3230,3243,3245
마포구,합정동,2548,2584,2645
마포구,망원1동,3269,3313,3367
마포구,망원2동,3008,3092,3196
마포구,연남동,2299,2264,2280
마포구,성산1동,2809,2897,2994
마포구,성산2동,5978,6201,6377
마포구,상암동,3798,4016,4234
마포구,도화동,3507,3638,3735
마포구,서강동,3032,3151,3269
마포구,공덕동,5620,5798,6012
마포구,아현동,2858,3029,3306
양천구,목1동,3053,3231,3458
양천구,목2동,3933,4107,4355
양천구,목3동,3156,3310,3562
양천구,목4동,3098,3207,3373
양천구,목5동,4233,4627,4992
양천구,신월1동,3985,4193,4420
양천구,신월2동,3739,3896,4091
양천구,신월3동,2884,2991,3075
양천구,신월4동,3120,3288,3469
양천구,신월5동,2313,2435,2600
양천구,신월6동,1679,1829,2019
양천구,신월7동,4233,4365,4434
양천구,신정1동,2559,2673,2826
양천구,신정2동,2455,2592,2714
양천구,신정4동,5665,5825,6114
양천구,신정3동,6725,7453,8047
양천구,신정6동,2602,2788,3018
양천구,신정7동,4725,4954,5265
강서구,염창동,4130,4358,4618
강서구,등촌1동,2760,2903,3032
강서구,등촌2동,3055,3157,3332
강서구,등촌3동,6418,6695,7013
강서구,화곡본동,4627,4830,5112
강서구,화곡2동,2755,2855,3033
강서구,화곡3동,3878,4057,4261
강서구,화곡4동,3668,3811,4019
강서구,화곡6동,3737,3892,4121
강서구,화곡8동,4205,4368,4525
강서구,가양1동,2835,3064,3261
강서구,가양2동,3833,4109,4374
강서구,가양3동,3532,3683,3849
강서구,발산1동,4581,4834,5112
강서구,공항동,3640,4232,4377
강서구,방화1동,6358,6540,6990
강서구,방화2동,4557,4806,5005
강서구,방화3동,4900,5215,5499
강서구,화곡1동,7937,8304,8655
강서구,우장산동,5439,5748,6169
구로구,신도림동,4535,4708,4965
구로구,구로1동,2434,2640,2845
구로구,구로2동,5369,5528,5661
구로구,구로3동,3268,3429,3528
구로구,구로4동,4260,4419,4571
구로구,구로5동,4468,4637,4824
구로구,고척1동,4182,4378,4534
구로구,고척2동,4968,5203,5509
구로구,개봉2동,6120,6440,6741
구로구,개봉3동,4088,4248,4431
구로구,오류1동,3824,3967,4143
구로구,오류2동,6705,7048,7345
구로구,수궁동,4223,4388,4685
구로구,가리봉동,1849,1833,1908
구로구,개봉1동,6149,6382,6651
구로구,항동,1450,1618,1782
금천구,가산동,2429,2538,2691
금천구,독산1동,5461,5781,6095
금천구,독산2동,3278,3438,3594
금천구,독산3동,4204,4431,4635
금천구,독산4동,2753,2865,2998
금천구,시흥1동,5822,6109,6395
금천구,시흥2동,3870,4052,4281
금천구,시흥3동,2244,2356,2457
금천구,시흥4동,3913,4119,4350
금천구,시흥5동,4190,4343,4480
영등포구,여의동,5802,6022,6202
영등포구,당산1동,3209,3331,3449
영등포구,당산2동,4441,4619,4794
영등포구,양평1동,2247,2349,2397
영등포구,양평2동,2420,2513,2615
영등포구,신길1동,3135,3187,3484
영등포구,신길3동,2963,3076,3226
영등포구,신길4동,2097,2253,2398
영등포구,신길5동,1919,1958,2036
영등포구,신길6동,3019,3227,3402
영등포구,신길7동,2331,2510,2635
영등포구,대림1동,2949,3023,3141
영등포구,대림2동,2716,2749,2816
영등포구,대림3동,4198,4382,4576
영등포구,영등포본동,3801,4001,4205
영등포구,영등포동,3242,3262,3328
영등포구,도림동,3097,3186,3247
영등포구,문래동,4486,4623,4784
동작구,노량진2동,2566,2162,2195
동작구,상도1동,6676,6948,7275
동작구,상도2동,4241,4249,4353
동작구,상도3동,4203,4371,4586
동작구,상도4동,4802,5060,5315
동작구,사당1동,3591,3747,3848
동작구,사당3동,4224,4415,4620
동작구,사당4동,2574,2643,2748
동작구,사당5동,2205,2312,2407
동작구,대방동,5482,5708,5768
동작구,신대방1동,3587,3754,3924
동작구,신대방2동,2944,3166,3417
동작구,흑석동,5430,5603,5196
동작구,노량진1동,5398,5667,5922
동작구,사당2동,5008,5405,5775
관악구,보라매동,4311,4414,4600
관악구,청림동,2624,2708,2817
관악구,행운동,4224,4331,4487
관악구,낙성대동,1912,1995,2015
관악구,중앙동,2280,2307,2375
관악구,인헌동,3887,3975,4109
관악구,남현동,2658,2752,2915
관악구,서원동,3171,3269,3360
