자치구,행정동,폭염빈도,폭염강도
노원구,중계1동,19,3.4
노원구,중계4동,2,1.4
노원구,상계1동,32,3.3
노원구,상계2동,30,4.4
노원구,상계5동,19,3.4
노원구,상계8동,12,2.3
노원구,상계9동,16,3.2
노원구,상계10동,18,3.2
노원구,상계3·4동,10,2.2
노원구,상계6·7동,17,3.0
노원구,중계2·3동,19,3.4
노원구,공릉1동,26,4.1
은평구,녹번동,14,2.8
은평구,불광1동,18,3.0
은평구,갈현1동,19,3.1
은평구,갈현2동,21,3.0
은평구,구산동,14,2.6
은평구,대조동,17,4.2
은평구,응암1동,15,3.0
은평구,응암2동,13,2.6
은평구,신사1동,14,3.0
은평구,신사2동,11,2.5
은평구,증산동,20,2.7
은평구,수색동,15,3.0
은평구,진관동,17,2.9
은평구,불광2동,22,3.3
은평구,응암3동,20,3.4
은평구,역촌동,20,3.4
서대문구,천연동,13,2.1
서대문구,홍제1동,14,2.5
서대문구,홍제2동,17,3.2
서대문구,홍제3동,26,3.9
서대문구,홍은1동,11,2.3
서대문구,홍은2동,15,3.7
서대문구,남가좌1동,16,3.1
서대문구,남가좌2동,23,4.3
서대문구,북가좌1동,16,3.2
서대문구,북가좌2동,18,3.6
서대문구,충현동,16,3.3
서대문구,북아현동,26,4.0
서대문구,신촌동,31,4.3
서대문구,연희동,11,3.3
마포구,용강동,28,5.1
마포구,대흥동,22,4.4
마포구,염리동,20,3.3
마포구,신수동,14,2.4
마포구,서교동,28,4.0
마포구,합정동,25,4.8
마포구,망원1동,30,3.9
마포구,망원2동,34,4.6
마포구,연남동,33,3.9
마포구,성산1동,27,5.0
마포구,성산2동,18,3.8
마포구,상암동,29,4.8
마포구,도화동,15,2.8
마포구,서강동,20,3.4
마포구,공덕동,28,5.1
마포구,아현동,19,3.7
양천구,목1동,21,3.7
양천구,목2동,23,4.1
양천구,목3동,20,4.4
양천구,목4동,22,3.7
양천구,목5동,23,3.7
양천구,신월1동,25,4.0
양천구,신월2동,17,3.4
양천구,신월3동,20,3.9
양천구,신월4동,25,3.6
양천구,신월5동,15,3.2
양천구,신월6동,8,1.7
양천구,신월7동,26,4.3
양천구,신정1동,18,3.8
양천구,신정2동,22,3.7
양천구,신정4동,41,5.6
양천구,신정3동,19,3.7
양천구,신정6동,18,3.6
양천구,신정7동,15,3.6
강서구,염창동,20,4.1
강서구,등촌1동,11,2.3
강서구,등촌2동,17,3.2
강서구,등촌3동,15,2.4
강서구,화곡본동,19,3.9
강서구,화곡2동,16,3.5
강서구,화곡3동,16,3.4
강서구,화곡4동,17,4.3
강서구,화곡6동,23,3.4
강서구,화곡8동,13,2.9
강서구,가양1동,16,3.3
강서구,가양2동,19,3.4
강서구,가양3동,15,2.7
강서구,발산1동,13,2.7
강서구,공항동,17,3.6
강서구,방화1동,20,3.6
강서구,방화2동,24,3.4
강서구,방화3동,20,3.6
강서구,화곡1동,23,4.0
강서구,우장산동,22,4.7
구로구,신도림동,25,3.2
구로구,구로1동,6,1.8
구로구,구로2동,26,4.5
구로구,구로3동,24,4.8
구로구,구로4동,32,4.4
구로구,구로5동,28,5.0
구로구,고척1동,13,3.0
구로구,고척2동,16,3.6
구로구,개봉2동,18,4.2
구로구,개봉3동,13,2.5
구로구,오류1동,13,3.1
구로구,오류2동,12,2.4
구로구,수궁동,20,3.7
구로구,가리봉동,25,4.0
구로구,개봉1동,19,3.7
구로구,항동,9,2.0
금천구,가산동,27,5.2
금천구,독산1동,28,4.5
금천구,독산2동,7,1.7
금천구,독산3동,8,2.2
금천구,독산4동,33,5.3
금천구,시흥1동,17,2.6
금천구,시흥2동,16,3.6
금천구,시흥3동,17,3.9
금천구,시흥4동,16,3.2
금천구,시흥5동,17,3.3
영등포구,여의동,13,2.3
영등포구,당산1동,28,4.1
영등포구,당산2동,35,5.5
영등포구,양평1동,23,4.4
영등포구,양평2동,16,3.6
영등포구,신길1동,14,2.5
영등포구,신길3동,15,3.0
영등포구,신길4동,14,2.9
영등포구,신길5동,16,3.8
영등포구,신길6동,13,2.9
영등포구,신길7동,24,3.9
영등포구,대림1동,14,3.1
영등포구,대림2동,24,4.1
영등포구,대림3동,18,3.5
영등포구,영등포본동,16,3.2
영등포구,영등포동,21,3.3
영등포구,도림동,12,2.5
영등포구,문래동,33,5.3
동작구,노량진2동,19,4.3
동작구,상도1동,20,3.6
동작구,상도2동,26,3.4
동작구,상도3동,17,4.1
동작구,상도4동,23,4.3
동작구,사당1동,15,2.8
동작구,사당3동,13,2.5
동작구,사당4동,21,4.8
동작구,사당5동,14,2.6
동작구,대방동,18,3.1
동작구,신대방1동,13,2.2
동작구,신대방2동,15,3.7
동작구,흑석동,17,3.3
동작구,노량진1동,22,3.5
동작구,사당2동,23,3.5
관악구,보라매동,28,4.3
관악구,청림동,15,3.1
관악구,행운동,19,3.7
관악구,낙성대동,20,4.0
관악구,중앙동,18,3.4
관악구,인헌동,16,3.1
관악구,남현동,19,3.6
관악구,서원동,16,3.2
관악구,신원동,30,4.6
관악구,서림동,24,3.6
관악구,신사동,19,3.6
관악구,신림동,25,4.8
관악구,난향동,16,3.2
관악구,조원동,26,4.3
관악구,대학동,16,3.1
관악구,은천동,22,4.7
관악구,성현동,13,3.8
관악구,청룡동,19,3.5
관악구,난곡동,15,3.1
관악구,삼성동,20,4.8
관악구,미성동,25,4.9
서초구,서초1동,11,2.1
서초구,서초2동,24,5.3
서초구,서초3동,20,2.8
서초구,서초4동,18,3.6
서초구,잠원동,13,1.9
서초구,반포본동,22,3.0
서초구,반포1동,3,2.6
서초구,반포2동,22,3.2
서초구,반포3동,24,3.5
서초구,반포4동,16,2.9
서초구,방배본동,24,4.3
서초구,방배1동,15,2.5
서초구,방배2동,19,4.0
서초구,방배3동,19,3.2
서초구,방배4동,24,4.3
서초구,양재1동,27,3.9
서초구,양재2동,26,4.1
서초구,내곡동,12,2.4
강남구,신사동,19,3.6
강남구,개포3동,16,3.2
강남구,논현1동,20,4.6
강남구,논현2동,20,3.4
강남구,삼성1동,13,2.4
강남구,삼성2동,18,3.1
강남구,대치1동,18,3.2
강남구,대치2동,13,1.8
강남구,대치4동,15,3.2
강남구,역삼1동,15,3.2
강남구,역삼2동,17,3.7
강남구,도곡1동,14,3.3
강남구,도곡2동,12,2.4
강남구,개포1동,26,3.7
강남구,개포2동,22,3.1
강남구,개포4동,21,3.8
강남구,일원본동,18,3.7
강남구,일원1동,24,4.0
강남구,수서동,19,3.7
강남구,세곡동,14,1.9
강남구,압구정동,13,2.5
강남구,청담동,29,3.9
송파구,풍납1동,23,3.5
송파구,풍납2동,31,5.0
송파구,거여1동,29,4.2
송파구,거여2동,33,4.2
송파구,마천1동,31,3.4
송파구,마천2동,29,3.4
송파구,방이1동,16,3.1
송파구,방이2동,23,4.0
송파구,오륜동,20,3.7
송파구,오금동,15,2.9
송파구,송파1동,13,2.6
송파구,송파2동,16,3.1
송파구,석촌동,29,4.5
송파구,삼전동,17,3.1
송파구,가락본동,14,2.3
송파구,가락1동,29,4.5
송파구,가락2동,23,4.3
송파구,문정1동,15,2.4
송파구,문정2동,14,2.7
송파구,장지동,29,4.2
송파구,위례동,17,3.7
송파구,잠실본동,21,3.6
송파구,잠실2동,15,3.2
송파구,잠실3동,16,3.2
송파구,잠실4동,16,3.1
송파구,잠실6동,20,3.5
송파구,잠실7동,12,2.4
강동구,명일1동,20,2.4
강동구,명일2동,14,2.1
강동구,고덕1동,19,2.1
강동구,고덕2동,13,2.4
강동구,암사1동,23,3.7
강동구,암사2동,25,4.1
강동구,암사3동,19,3.4
강동구,천호1동,27,4.4
강동구,천호2동,16,3.1
강동구,천호3동,18,3.5
강동구,성내1동,23,3.8
강동구,성내2동,24,3.8
강동구,성내3동,21,4.0
강동구,길동,19,4.0
강동구,둔촌1동,17,2.8
강동구,둔촌2동,21,3.4
강동구,강일동,28,3.4
강동구,상일1동,15,2.6
강동구,상일2동,19,3.4
