자치구,행정동,폭염빈도,폭염강도
종로구,사직동,20,3.3
종로구,삼청동,48,4.7
종로구,부암동,21,3.3
종로구,평창동,25,2.8
종로구,무악동,34,4.1
종로구,교남동,23,3.9
종로구,가회동,40,4.9
종로구,종로1·2·3·4가동,21,3.6
종로구,종로5·6가동,21,3.6
종로구,이화동,32,4.7
종로구,혜화동,49,5.2
종로구,창신1동,31,3.7
종로구,창신2동,40,4.1
종로구,창신3동,28,5.2
종로구,숭인1동,33,3.8
종로구,숭인2동,40,5.4
종로구,청운효자동,33,4.3
중구,소공동,19,3.7
중구,회현동,15,3.6
중구,명동,17,4.5
중구,필동,17,3.3
중구,장충동,19,4.2
중구,광희동,17,3.5
중구,을지로동,34,5.0
중구,신당5동,17,3.3
중구,황학동,15,3.1
중구,중림동,9,2.0
중구,신당동,18,3.2
중구,다산동,17,2.9
중구,약수동,19,4.0
중구,청구동,16,3.4
중구,동화동,20,4.0
용산구,후암동,18,4.0
용산구,용산2가동,17,4.1
용산구,남영동,16,3.6
용산구,원효로2동,25,3.2
용산구,효창동,22,3.6
용산구,용문동,17,2.5
용산구,이촌1동,19,3.5
용산구,이촌2동,15,2.9
용산구,이태원1동,22,3.5
용산구,이태원2동,5,1.4
용산구,서빙고동,21,3.9
용산구,보광동,24,3.0
용산구,청파동,19,3.6
용산구,원효로1동,16,4.2
용산구,한강로동,6,1.8
용산구,한남동,15,3.1
성동구,왕십리2동,21,3.5
성동구,마장동,32,4.6
성동구,사근동,25,3.7
성동구,행당1동,19,3.1
성동구,행당2동,20,3.1
성동구,응봉동,24,3.8
성동구,금호1가동,29,5.6
성동구,금호4가동,17,2.5
성동구,성수1가1동,30,3.8
성동구,성수1가2동,24,3.6
성동구,성수2가1동,22,4.3
성동구,성수2가3동,23,4.4
성동구,송정동,32,4.2
성동구,용답동,27,3.4
성동구,왕십리도선동,20,3.4
성동구,금호2·3가동,26,3.9
성동구,옥수동,15,3.0
광진구,화양동,21,3.4
광진구,군자동,17,3.6
광진구,중곡1동,27,4.2
광진구,중곡2동,24,4.3
광진구,중곡3동,16,3.2
광진구,중곡4동,21,3.8
광진구,능동,16,3.1
광진구,구의1동,21,2.8
광진구,구의2동,25,3.7
광진구,구의3동,23,3.7
광진구,광장동,19,2.9
광진구,자양1동,19,3.5
광진구,자양2동,20,3.3
광진구,자양3동,24,4.5
광진구,자양4동,15,3.1
동대문구,회기동,15,2.7
동대문구,휘경1동,13,3.2
동대문구,휘경2동,14,2.9
동대문구,청량리동,19,3.6
동대문구,용신동,33,4.6
동대문구,제기동,17,3.2
동대문구,전농1동,22,3.9
동대문구,전농2동,17,2.3
동대문구,답십리1동,17,3.4
동대문구,답십리2동,14,2.7
동대문구,장안1동,26,3.8
동대문구,장안2동,22,4.1
동대문구,이문1동,17,3.2
동대문구,이문2동,17,3.2
중랑구,면목2동,20,3.9
중랑구,면목4동,16,3.0
중랑구,면목5동,16,2.5
중랑구,면목7동,14,3.0
중랑구,상봉1동,18,3.2
중랑구,상봉2동,16,4.1
중랑구,중화1동,18,4.7
중랑구,중화2동,18,3.5
중랑구,묵1동,19,3.5
중랑구,묵2동,32,4.8
중랑구,망우3동,17,2.5
중랑구,신내1동,12,3.3
중랑구,신내2동,18,3.1
중랑구,면목본동,29,4.4
중랑구,면목3·8동,27,4.4
중랑구,망우본동,21,3.3
성북구,돈암1동,16,3.2
성북구,돈암2동,7,1.1
성북구,안암동,15,3.3
성북구,보문동,13,2.2
성북구,정릉1동,14,3.0
성북구,정릉2동,6,1.4
성북구,정릉3동,1,0.1
성북구,정릉4동,14,2.7
성북구,길음1동,18,3.7
성북구,길음2동,25,2.9
성북구,월곡1동,27,3.2
성북구,월곡2동,14,3.0
성북구,장위1동,2,1.7
성북구,장위2동,27,4.1
성북구,장위3동,15,2.7
성북구,성북동,16,2.2
성북구,삼선동,14,2.6
성북구,동선동,40,4.9
성북구,종암동,19,3.6
성북구,석관동,1,0.5
강북구,번1동,18,2.7
강북구,번2동,26,4.5
강북구,번3동,9,2.0
강북구,수유1동,25,4.0
강북구,수유2동,18,2.9
강북구,수유3동,11,2.1
강북구,삼양동,16,2.6
강북구,미아동,15,2.4
강북구,송중동,24,5.1
강북구,송천동,12,2.8
강북구,삼각산동,10,2.0
강북구,우이동,15,3.1
강북구,인수동,15,2.5
도봉구,쌍문1동,16,2.9
도봉구,쌍문2동,14,3.9
도봉구,쌍문3동,15,3.4
도봉구,쌍문4동,20,3.0
도봉구,방학1동,14,2.4
도봉구,방학2동,14,3.1
도봉구,방학3동,26,4.5
도봉구,창1동,19,3.0
도봉구,창2동,22,3.4
도봉구,창3동,31,3.9
도봉구,창4동,22,3.3
도봉구,창5동,19,3.9
도봉구,도봉1동,19,4.2
도봉구,도봉2동,19,2.7
노원구,월계1동,17,3.0
노원구,월계2동,16,3.1
노원구,월계3동,10,2.0
노원구,공릉2동,19,3.5
노원구,하계1동,13,2.4
노원구,하계2동,19,3.1
노원구,중계본동,7,2.2
