자치구,행정동,폭염빈도,폭염강도
종로구,사직동,35,4.4
종로구,삼청동,57,5.6
종로구,부암동,33,4.8
종로구,평창동,29,4.7
종로구,무악동,38,4.9
종로구,교남동,33,4.9
종로구,가회동,47,5.4
종로구,종로1·2·3·4가동,33,4.3
종로구,종로5·6가동,30,3.8
종로구,이화동,45,5.1
종로구,혜화동,57,5.4
종로구,창신1동,32,5.0
종로구,창신2동,46,5.0
종로구,창신3동,41,3.9
종로구,숭인1동,42,4.7
종로구,숭인2동,54,5.7
종로구,청운효자동,40,4.9
중구,소공동,31,4.6
중구,회현동,29,4.0
중구,명동,30,5.2
중구,필동,26,3.4
중구,장충동,30,5.1
중구,광희동,28,3.9
중구,을지로동,43,5.3
중구,신당5동,25,4.2
중구,황학동,20,4.2
중구,중림동,16,1.9
중구,신당동,2,1.3
중구,다산동,24,3.2
중구,약수동,29,3.3
중구,청구동,46,5.6
중구,동화동,33,4.2
용산구,후암동,36,4.4
용산구,용산2가동,24,4.0
용산구,남영동,33,4.4
용산구,원효로2동,31,3.8
용산구,효창동,34,4.8
용산구,용문동,28,3.3
용산구,이촌1동,35,5.2
용산구,이촌2동,23,4.1
용산구,이태원1동,34,4.1
용산구,이태원2동,29,5.2
용산구,서빙고동,25,3.8
용산구,보광동,28,3.8
용산구,청파동,36,4.0
용산구,원효로1동,18,5.4
용산구,한강로동,26,4.6
용산구,한남동,29,5.1
성동구,왕십리2동,36,3.9
성동구,마장동,40,4.9
성동구,사근동,52,4.4
성동구,행당1동,38,4.3
성동구,행당2동,39,4.3
성동구,응봉동,32,4.2
성동구,금호1가동,46,5.7
성동구,금호4가동,24,2.5
성동구,성수1가1동,37,4.2
성동구,성수1가2동,34,5.1
성동구,성수2가1동,34,3.9
성동구,성수2가3동,32,4.2
성동구,송정동,47,4.7
성동구,용답동,35,4.4
성동구,왕십리도선동,35,4.6
성동구,금호2·3가동,35,4.4
성동구,옥수동,24,3.8
광진구,화양동,26,3.4
광진구,군자동,18,4.2
광진구,중곡1동,30,5.2
광진구,중곡2동,27,4.3
광진구,중곡3동,29,5.2
광진구,중곡4동,28,3.9
광진구,능동,25,3.8
광진구,구의1동,29,3.8
광진구,구의2동,33,4.8
광진구,구의3동,31,3.6
광진구,광장동,26,3.5
광진구,자양1동,31,4.3
광진구,자양2동,25,3.5
광진구,자양3동,43,5.4
광진구,자양4동,19,3.2
동대문구,회기동,24,3.7
동대문구,휘경1동,15,3.5
동대문구,휘경2동,26,3.9
동대문구,청량리동,37,4.7
동대문구,용신동,35,5.0
동대문구,제기동,27,3.5
동대문구,전농1동,30,4.5
동대문구,전농2동,29,3.6
동대문구,답십리1동,24,4.1
동대문구,답십리2동,23,3.5
동대문구,장안1동,30,4.6
동대문구,장안2동,28,4.8
동대문구,이문1동,23,3.4
동대문구,이문2동,23,3.4
중랑구,면목2동,28,4.4
중랑구,면목4동,27,3.3
중랑구,면목5동,23,3.6
중랑구,면목7동,23,4.0
중랑구,상봉1동,29,4.2
중랑구,상봉2동,24,5.1
중랑구,중화1동,23,5.2
중랑구,중화2동,31,4.9
중랑구,묵1동,27,3.3
중랑구,묵2동,41,5.5
중랑구,망우3동,28,3.9
중랑구,신내1동,20,3.5
중랑구,신내2동,27,4.2
중랑구,면목본동,37,5.4
중랑구,면목3·8동,39,5.4
중랑구,망우본동,32,5.0
성북구,돈암1동,26,4.8
성북구,돈암2동,12,2.2
성북구,안암동,33,4.1
성북구,보문동,24,2.9
성북구,정릉1동,23,4.1
성북구,정릉2동,14,1.9
성북구,정릉3동,33,2.8
성북구,정릉4동,28,3.1
성북구,길음1동,27,3.1
성북구,길음2동,36,4.2
성북구,월곡1동,34,4.0
성북구,월곡2동,35,4.3
성북구,장위1동,25,3.5
성북구,장위2동,28,4.6
성북구,장위3동,29,4.2
성북구,성북동,26,3.1
성북구,삼선동,33,4.1
성북구,동선동,50,5.4
성북구,종암동,30,4.3
성북구,석관동,22,5.1
강북구,번1동,49,4.8
강북구,번2동,40,5.1
강북구,번3동,43,6.2
강북구,수유1동,38,4.4
강북구,수유2동,30,4.0
강북구,수유3동,18,3.4
강북구,삼양동,39,4.7
강북구,미아동,25,3.0
강북구,송중동,36,5.0
강북구,송천동,31,3.9
강북구,삼각산동,15,3.6
강북구,우이동,27,5.0
강북구,인수동,31,3.7
도봉구,쌍문1동,51,7.1
도봉구,쌍문2동,38,4.9
도봉구,쌍문3동,26,4.4
도봉구,쌍문4동,34,4.7
도봉구,방학1동,39,4.0
도봉구,방학2동,26,3.6
도봉구,방학3동,31,4.8
도봉구,창1동,27,3.4
도봉구,창2동,48,5.3
도봉구,창3동,29,4.5
