자치구,행정동,월평균 총승하차승객수,월별일일평균승하차승객수,연일일평균총승하차승객수
구로구,고척2동,240274.0,95595.0,7966.0
구로구,구로1동,102792.0,40906.0,3409.0
구로구,구로2동,626780.0,249375.0,20781.0
구로구,구로3동,506230.0,201483.0,16790.0
구로구,구로4동,314018.0,124953.0,10413.0
구로구,구로5동,419807.0,167097.0,13925.0
구로구,수궁동,367736.0,146201.0,12183.0
구로구,신도림동,510212.0,203053.0,16921.0
구로구,오류1동,220930.0,87902.0,7325.0
구로구,오류2동,309534.0,123149.0,10262.0
구로구,항동,21558.0,8572.0,714.0
금천구,가산동,902153.0,359053.0,29921.0
금천구,독산1동,588752.0,234281.0,19523.0
금천구,독산2동,265330.0,105579.0,8798.0
금천구,독산3동,403563.0,160559.0,13380.0
금천구,독산4동,243284.0,96794.0,8066.0
금천구,시흥1동,595285.0,236866.0,19739.0
금천구,시흥2동,197176.0,78451.0,6538.0
금천구,시흥3동,147386.0,58626.0,4886.0
금천구,시흥4동,160838.0,63987.0,5332.0
금천구,시흥5동,267694.0,106502.0,8875.0
노원구,공릉1동,297074.0,118152.0,9846.0
노원구,공릉2동,377479.0,150022.0,12502.0
노원구,상계10동,179698.0,71483.0,5957.0
노원구,상계1동,221654.0,88199.0,7350.0
노원구,상계2동,364826.0,145208.0,12101.0
노원구,상계3·4동,61456.0,24455.0,2038.0
노원구,상계5동,109141.0,43428.0,3619.0
노원구,상계6·7동,310336.0,123487.0,10291.0
노원구,상계8동,39887.0,15872.0,1323.0
노원구,상계9동,141002.0,56105.0,4675.0
노원구,월계1동,358721.0,142606.0,11883.0
노원구,월계2동,282929.0,112455.0,9371.0
노원구,월계3동,176550.0,70243.0,5854.0
노원구,중계1동,215996.0,85968.0,7164.0
노원구,중계2·3동,220497.0,87749.0,7312.0
노원구,중계4동,220810.0,87866.0,7322.0
노원구,중계본동,202201.0,80475.0,6706.0
노원구,하계1동,400887.0,159440.0,13287.0
노원구,하계2동,118917.0,47286.0,3940.0
도봉구,도봉1동,198861.0,79111.0,6593.0
도봉구,도봉2동,204373.0,81310.0,6776.0
도봉구,방학1동,354755.0,141146.0,11762.0
도봉구,방학2동,181674.0,72278.0,6023.0
도봉구,방학3동,243796.0,96995.0,8083.0
도봉구,쌍문1동,282761.0,112409.0,9368.0
도봉구,쌍문2동,200641.0,79851.0,6654.0
도봉구,쌍문3동,302307.0,120291.0,10024.0
도봉구,쌍문4동,151618.0,60310.0,5026.0
도봉구,창1동,289705.0,115287.0,9607.0
도봉구,창2동,229318.0,91237.0,7603.0
도봉구,창3동,133300.0,53031.0,4419.0
도봉구,창4동,322282.0,128226.0,10686.0
도봉구,창5동,292400.0,116352.0,9696.0
동대문구,답십리1동,339662.0,135153.0,11263.0
동대문구,답십리2동,190134.0,75654.0,6304.0
동대문구,용신동,939049.0,373591.0,31133.0
동대문구,이문1동,114127.0,45403.0,3784.0
동대문구,이문2동,206273.0,81951.0,6829.0
동대문구,장안1동,487531.0,194038.0,16170.0
동대문구,장안2동,508300.0,202246.0,16854.0
동대문구,전농1동,833869.0,331605.0,27634.0
동대문구,전농2동,202015.0,80313.0,6693.0
동대문구,제기동,513339.0,204123.0,17010.0
동대문구,청량리동,212321.0,84444.0,7037.0
동대문구,회기동,190156.0,75511.0,6293.0
동대문구,휘경1동,393896.0,156560.0,13047.0
동대문구,휘경2동,287613.0,114385.0,9532.0
동작구,노량진1동,793108.0,315502.0,26292.0
동작구,노량진2동,286948.0,114153.0,9513.0
동작구,대방동,453543.0,180378.0,15032.0
동작구,사당1동,317601.0,126374.0,10531.0
동작구,사당2동,594567.0,236566.0,19714.0
동작구,사당3동,138298.0,55016.0,4585.0
동작구,사당4동,46514.0,18509.0,1542.0
동작구,사당5동,166102.0,66053.0,5505.0
동작구,상도1동,895227.0,355714.0,29643.0
동작구,상도2동,412284.0,164037.0,13670.0
동작구,상도3동,235913.0,93864.0,7822.0
동작구,상도4동,180097.0,71659.0,5972.0
동작구,신대방1동,172128.0,68504.0,5709.0
동작구,신대방2동,247475.0,98465.0,8205.0
동작구,흑석동,328228.0,130454.0,10871.0
마포구,공덕동,395373.0,157331.0,13111.0
마포구,대흥동,489469.0,194648.0,16221.0
마포구,도화동,293357.0,116743.0,9729.0
마포구,망원1동,113642.0,45210.0,3768.0
마포구,망원2동,143512.0,57107.0,4759.0
마포구,상암동,813589.0,323791.0,26982.0
마포구,서강동,162368.0,64596.0,5383.0
마포구,서교동,1497140.0,595604.0,49634.0
마포구,성산1동,220062.0,87564.0,7297.0
마포구,성산2동,386093.0,153612.0,12800.0
마포구,신수동,74255.0,29554.0,2463.0
마포구,아현동,385820.0,153516.0,12793.0
마포구,연남동,121036.0,48174.0,4014.0
마포구,염리동,7652.0,3046.0,254.0
마포구,용강동,64520.0,25684.0,2140.0
마포구,합정동,241331.0,96057.0,8005.0
서대문구,남가좌1동,230788.0,91810.0,7651.0
서대문구,남가좌2동,390896.0,155351.0,12946.0
서대문구,북가좌1동,174741.0,69521.0,5793.0
서대문구,북가좌2동,224046.0,89141.0,7428.0
서대문구,북아현동,217269.0,86412.0,7201.0
서대문구,신촌동,1329861.0,528688.0,44057.0
서대문구,연희동,982598.0,390970.0,32581.0
서대문구,천연동,185290.0,73693.0,6141.0
서대문구,충현동,459092.0,182594.0,15216.0
서대문구,홍은1동,209890.0,83496.0,6958.0
서대문구,홍은2동,578809.0,230063.0,19172.0
서대문구,홍제1동,499205.0,198578.0,16548.0
서대문구,홍제2동,93229.0,37086.0,3090.0
서대문구,홍제3동,363319.0,144494.0,12041.0
서초구,내곡동,167349.0,66585.0,5548.0
서초구,반포1동,282373.0,112384.0,9365.0
서초구,반포2동,178562.0,70988.0,5916.0
서초구,반포3동,350842.0,139607.0,11634.0
서초구,반포4동,499352.0,198728.0,16561.0
서초구,반포본동,59923.0,23830.0,1986.0
서초구,방배1동,243236.0,96779.0,8065.0
서초구,방배2동,255803.0,101791.0,8483.0
서초구,방배3동,256995.0,102234.0,8520.0
서초구,방배4동,174911.0,69602.0,5800.0
서초구,방배본동,130734.0,52028.0,4336.0
서초구,서초1동,230500.0,91735.0,7645.0
서초구,서초2동,561192.0,223376.0,18615.0
서초구,서초3동,652998.0,259887.0,21657.0
서초구,서초4동,401001.0,159615.0,13301.0
서초구,양재1동,910870.0,362520.0,30210.0
서초구,양재2동,421420.0,167702.0,13975.0
서초구,잠원동,330226.0,131430.0,10952.0
성동구,금호1가동,94523.0,37603.0,3134.0
성동구,금호2·3가동,194979.0,77566.0,6464.0
성동구,금호4가동,141607.0,56341.0,4695.0
성동구,마장동,168217.0,66929.0,5577.0
성동구,사근동,147836.0,58760.0,4897.0
성동구,성수1가1동,143882.0,57235.0,4770.0
성동구,성수1가2동,116467.0,46352.0,3863.0
성동구,성수2가1동,135342.0,53881.0,4490.0
성동구,성수2가3동,191670.0,76314.0,6360.0
성동구,송정동,85642.0,34090.0,2841.0
성동구,옥수동,202963.0,80754.0,6729.0
성동구,왕십리2동,51693.0,20568.0,1714.0
성동구,왕십리도선동,303526.0,120780.0,10065.0
성동구,용답동,214040.0,85188.0,7099.0
성동구,응봉동,95386.0,37944.0,3162.0
성동구,행당1동,360524.0,143453.0,11954.0
성동구,행당2동,188262.0,74904.0,6242.0
성북구,길음1동,577821.0,229821.0,19152.0
성북구,길음2동,308209.0,122607.0,10217.0
성북구,돈암1동,265397.0,105509.0,8792.0
성북구,돈암2동,191782.0,76298.0,6358.0
성북구,동선동,1061607.0,422331.0,35194.0
성북구,보문동,180821.0,71929.0,5994.0
성북구,삼선동,703516.0,279628.0,23302.0
성북구,석관동,304987.0,121294.0,10108.0
성북구,성북동,250883.0,99750.0,8312.0
성북구,안암동,283459.0,112626.0,9386.0
성북구,월곡1동,355199.0,141296.0,11774.0
성북구,월곡2동,213433.0,84884.0,7074.0
성북구,장위1동,208573.0,82974.0,6914.0
성북구,장위2동,197833.0,78707.0,6559.0
성북구,장위3동,172218.0,68494.0,5708.0
성북구,정릉1동,314336.0,124977.0,10415.0
성북구,정릉2동,278894.0,110908.0,9242.0
성북구,정릉3동,254628.0,100829.0,8402.0
성북구,정릉4동,371592.0,147669.0,12306.0
성북구,종암동,505943.0,201242.0,16770.0
송파구,가락1동,245112.0,97542.0,8128.0
송파구,가락2동,277961.0,110619.0,9218.0
송파구,가락본동,342159.0,136165.0,11347.0
송파구,거여1동,88655.0,35285.0,2940.0
송파구,거여2동,98780.0,39303.0,3275.0
송파구,마천1동,84307.0,33545.0,2795.0
송파구,마천2동,185326.0,73739.0,6145.0
송파구,문정1동,232673.0,92591.0,7716.0
송파구,문정2동,131422.0,52297.0,4358.0
송파구,방이1동,97938.0,38981.0,3248.0
송파구,방이2동,215831.0,85925.0,7160.0
송파구,삼전동,35555.0,14148.0,1179.0
송파구,석촌동,277899.0,110597.0,9216.0
송파구,송파1동,268962.0,107055.0,8921.0
송파구,송파2동,192202.0,76470.0,6372.0
송파구,오금동,125489.0,49950.0,4162.0
송파구,오륜동,138780.0,55202.0,4600.0
송파구,위례동,403970.0,160710.0,13393.0
송파구,잠실2동,150832.0,60031.0,5003.0
송파구,잠실3동,539546.0,214753.0,17896.0
송파구,잠실4동,90170.0,35887.0,2991.0
송파구,잠실6동,434772.0,173066.0,14422.0
송파구,잠실7동,99845.0,39724.0,3310.0
송파구,잠실본동,428569.0,170593.0,14216.0
송파구,장지동,222054.0,88345.0,7362.0
송파구,풍납1동,92844.0,36953.0,3079.0
송파구,풍납2동,215822.0,85887.0,7157.0
양천구,목1동,575726.0,229196.0,19100.0
