자치구,행정동,월평균 총승하차승객수,월별일일평균승하차승객수,연일일평균총승하차승객수
강남구,개포1동,251695.0,99092.0,8258.0
강남구,개포2동,398176.0,156938.0,13078.0
강남구,개포3동,105167.0,41464.0,3455.0
강남구,개포4동,399232.0,157397.0,13116.0
강남구,논현1동,1430911.0,564121.0,47010.0
강남구,논현2동,765510.0,301766.0,25147.0
강남구,대치1동,993931.0,391859.0,32655.0
강남구,대치2동,1161188.0,457792.0,38149.0
강남구,대치4동,949505.0,374285.0,31190.0
강남구,도곡1동,1401137.0,552407.0,46034.0
강남구,도곡2동,417112.0,164444.0,13704.0
강남구,삼성1동,1434726.0,565566.0,47130.0
강남구,삼성2동,1029581.0,405853.0,33821.0
강남구,세곡동,1067216.0,420737.0,35061.0
강남구,수서동,366160.0,144355.0,12029.0
강남구,신사동,1703870.0,671703.0,55975.0
강남구,압구정동,562175.0,221620.0,18468.0
강남구,역삼1동,2328322.0,917920.0,76493.0
강남구,역삼2동,853828.0,336578.0,28048.0
강남구,일원1동,386981.0,152576.0,12715.0
강남구,일원본동,974900.0,384374.0,32031.0
강남구,청담동,1173980.0,462805.0,38567.0
강동구,강일동,503166.0,198398.0,16533.0
강동구,고덕1동,252647.0,99583.0,8299.0
강동구,고덕2동,261334.0,103020.0,8585.0
강동구,길동,601700.0,237252.0,19771.0
강동구,둔촌1동,48092.0,18966.0,1580.0
강동구,둔촌2동,291914.0,115003.0,9584.0
강동구,명일1동,464446.0,183097.0,15258.0
강동구,명일2동,185552.0,73114.0,6093.0
강동구,상일1동,868535.0,342465.0,28539.0
강동구,상일2동,114379.0,45091.0,3758.0
강동구,성내1동,334034.0,131712.0,10976.0
강동구,성내2동,432128.0,170393.0,14199.0
강동구,성내3동,420100.0,165677.0,13806.0
강동구,암사1동,600424.0,236722.0,19727.0
강동구,암사2동,6318.0,2491.0,208.0
강동구,암사3동,60116.0,23703.0,1975.0
강동구,천호1동,241178.0,95078.0,7923.0
강동구,천호2동,690403.0,272197.0,22683.0
강동구,천호3동,362699.0,143029.0,11919.0
강북구,미아동,57258.0,22576.0,1881.0
강북구,번1동,1861680.0,734194.0,61183.0
강북구,번2동,630271.0,248560.0,20713.0
강북구,번3동,606918.0,239343.0,19945.0
강북구,삼각산동,380058.0,149839.0,12487.0
강북구,삼양동,466988.0,184153.0,15346.0
강북구,송중동,2653180.0,1046264.0,87189.0
강북구,송천동,1306781.0,515347.0,42946.0
강북구,수유1동,353230.0,139272.0,11606.0
강북구,수유2동,747765.0,294867.0,24572.0
강북구,수유3동,1541517.0,607878.0,50656.0
강북구,우이동,227560.0,89697.0,7475.0
강북구,인수동,791124.0,311977.0,25998.0
강서구,가양1동,705335.0,278089.0,23174.0
강서구,가양2동,170495.0,67225.0,5602.0
강서구,가양3동,261321.0,103039.0,8587.0
강서구,공항동,567126.0,223614.0,18634.0
강서구,등촌1동,637466.0,251296.0,20941.0
강서구,등촌2동,523426.0,206383.0,17199.0
강서구,등촌3동,850108.0,335189.0,27932.0
강서구,발산1동,784054.0,309152.0,25763.0
