자치구,행정동,월평균 총승하차승객수,월별일일평균승하차승객수,연일일평균총승하차승객수
강남구,개포1동,239652.0,94460.0,7872.0
강남구,개포2동,432418.0,170435.0,14203.0
강남구,개포3동,91614.0,36120.0,3010.0
강남구,개포4동,469170.0,184970.0,15414.0
강남구,논현1동,1072585.0,422865.0,35239.0
강남구,논현2동,769148.0,303209.0,25267.0
강남구,대치1동,820422.0,323413.0,26951.0
강남구,대치2동,1060054.0,417848.0,34821.0
강남구,대치4동,748851.0,295159.0,24597.0
강남구,도곡1동,1024906.0,404085.0,33674.0
강남구,도곡2동,326475.0,128693.0,10725.0
강남구,삼성1동,1063035.0,419080.0,34923.0
강남구,삼성2동,750298.0,295744.0,24645.0
강남구,세곡동,949556.0,374322.0,31194.0
강남구,수서동,539889.0,212841.0,17737.0
강남구,신사동,1448668.0,571066.0,47589.0
강남구,압구정동,479275.0,188915.0,15743.0
강남구,역삼1동,1975850.0,778837.0,64903.0
강남구,역삼2동,758039.0,298803.0,24900.0
강남구,일원1동,265816.0,104835.0,8736.0
강남구,일원본동,542211.0,213766.0,17814.0
강남구,청담동,1106826.0,436357.0,36363.0
강동구,강일동,526218.0,207422.0,17285.0
강동구,고덕1동,165555.0,65250.0,5438.0
강동구,고덕2동,240156.0,94672.0,7889.0
강동구,길동,520785.0,205310.0,17109.0
강동구,둔촌1동,27587.0,10874.0,906.0
강동구,둔촌2동,362618.0,142930.0,11911.0
강동구,명일1동,368569.0,145282.0,12107.0
강동구,명일2동,163177.0,64314.0,5360.0
강동구,상일1동,721230.0,284303.0,23692.0
강동구,상일2동,107610.0,42405.0,3534.0
강동구,성내1동,294158.0,115956.0,9663.0
강동구,성내2동,346991.0,136828.0,11402.0
강동구,성내3동,328959.0,129686.0,10807.0
강동구,암사1동,499781.0,197030.0,16419.0
강동구,암사2동,4360.0,1721.0,143.0
강동구,암사3동,61724.0,24336.0,2028.0
강동구,천호1동,206216.0,81303.0,6775.0
강동구,천호2동,577186.0,227547.0,18962.0
강동구,천호3동,261734.0,103178.0,8598.0
강북구,미아동,52329.0,20633.0,1720.0
강북구,번1동,1528822.0,602779.0,50232.0
강북구,번2동,460781.0,181699.0,15142.0
강북구,번3동,527493.0,207980.0,17332.0
강북구,삼각산동,394075.0,155348.0,12946.0
강북구,삼양동,350729.0,138268.0,11522.0
강북구,송중동,2195114.0,865401.0,72117.0
강북구,송천동,969280.0,382153.0,31846.0
강북구,수유1동,286508.0,112943.0,9412.0
강북구,수유2동,652023.0,257062.0,21422.0
강북구,수유3동,1234117.0,486572.0,40548.0
강북구,우이동,236684.0,93282.0,7773.0
강북구,인수동,606849.0,239225.0,19935.0
강서구,가양1동,777427.0,306471.0,25539.0
강서구,가양2동,148219.0,58422.0,4868.0
강서구,가양3동,169707.0,66913.0,5576.0
강서구,공항동,500116.0,197179.0,16432.0
강서구,등촌1동,590399.0,232727.0,19394.0
강서구,등촌2동,445874.0,175780.0,14648.0
강서구,등촌3동,583716.0,230074.0,19173.0
강서구,발산1동,632246.0,249238.0,20770.0
강서구,방화1동,208984.0,82388.0,6866.0
강서구,방화2동,289296.0,114051.0,9504.0
강서구,방화3동,88338.0,34822.0,2902.0
강서구,염창동,705426.0,278103.0,23175.0
강서구,우장산동,420296.0,165673.0,13806.0
강서구,화곡1동,1045233.0,412078.0,34340.0
강서구,화곡2동,257008.0,101321.0,8443.0
강서구,화곡3동,194127.0,76526.0,6377.0
강서구,화곡4동,285847.0,112688.0,9391.0
강서구,화곡6동,706218.0,278425.0,23202.0
강서구,화곡8동,687286.0,270972.0,22581.0
강서구,화곡본동,504823.0,199028.0,16586.0
관악구,낙성대동,934648.0,368449.0,30704.0
관악구,난곡동,518989.0,204621.0,17052.0
